A,B,C,D,E,F
12,23.2,14,145.47,-71.9035,-35.0697
10,18.98,35,376.2,58.8976,11.4485
13,25.26,11,112.47,-43.5776,-17.6065
1,1.25,22,233.06,69.9214,12.329
28,55.14,34,365.56,-27.7754,-90.8489
36,71.24,34,365.18,-4.75528,-1.54508
34,67,38,409.27,19.019,66.327
10,19,28,299.16,-39.8603,-89.5274
1,1.31,37,398.03,-39.8583,-24.9062
15,29.49,5,46.38,-74.3063,-62.3504
25,49.53,17,178.2,-41.6902,-19.4404
24,47.29,28,299.33,31.3849,10.1976
23,45.53,21,222.3,71.287,46.2943
7,13.53,24,255.45,-23.9805,-83.6297
35,69.35,4,35.24,26.8468,15.5
26,51.2,24,255.11,49.374,67.9574
18,35.03,17,177.98,62.1651,57.9698
26,51.32,31,332.21,39.2101,46.7287
20,39.17,35,376.49,-92.6608,-31.9057
24,47.07,10,100.97,55.2798,65.8798
6,11.52,23,244.09,4.69846,1.7101
34,67.09,28,299.46,-86.5462,-28.1205
3,5.2,2,13.56,-32.6301,-41.7645
0,-0.78,37,398.08,0.848048,0.529919
15,29.08,23,244.48,10.8158,18.0005
8,14.98,38,409.38,52.1114,98.0071
36,71.52,7,68.53,27.2294,51.2109
33,65.16,25,266.53,-21.0132,-64.6718
17,33,23,244.37,9.88858,30.4338
14,27.25,7,68.1,55.1608,43.0963
32,63.09,7,68.05,-46.3644,-12.4233
32,63.29,18,189.47,65.508,8.04337
7,13.08,16,167.29,-0.970296,-0.241922
34,67.27,28,299.54,-36.3849,-74.5999
25,49.09,29,310.25,-34.4044,-24.0902
16,31.44,39,420.55,70.2877,42.2331
38,75.44,13,134.25,11.4783,6.10313
8,15.4,22,233.27,-33.223,-51.1589
25,48.98,0,-8.82,41.8393,89.7244
36,71.09,5,46.42,-66.1399,-59.5526
0,-0.57,1,2.18,32.2532,84.0222
6,11.01,13,134.45,-26.5698,-62.5943
10,19.03,12,123.3,-28.7427,-11.6128
13,24.98,3,24.27,-14.9817,-29.4032
4,7.05,24,254.98,42.2525,79.4652
23,45.55,26,277.49,-25.1441,-82.2422
13,25.26,6,57.54,-46.0083,-86.5288
32,63.01,29,310.55,78.5672,8.25774
19,38.34,11,112.43,50.5166,58.1126
11,21.46,10,101.06,-78.8351,-51.196
37,73.37,18,189.4,-47.4948,-39.8528
23,44.98,12,123.07,2.88379,0.826911
35,69.29,22,233.54,62.0429,10.9398
12,23.35,8,79.54,42.4264,42.4264
19,37.55,23,244.4,-18.5472,-29.6817
30,59.23,27,288.15,-16.6718,-17.2641
14,27.54,35,376.03,24.1105,49.4337
33,65.32,1,2.52,-79.2837,-57.6029
10,19.1,32,343.26,-34.2867,-20.6015
21,41.17,25,266.43,-1.75349,-3.59517
33,65.22,23,244.18,-51.1948,-47.7399
20,39.2,16,167.37,4.59242,5.28296
18,35.37,35,376.08,-65.8301,-26.597
19,37.5,28,299.56,-35.4761,-13.618
15,29.5,2,13.22,-44.3299,-47.538
21,41.07,2,13.05,-46.3592,-18.7303
0,-1.03,19,200.26,-15.5564,-15.5563
30,59.03,26,277.22,79.5118,15.4555
6,11.08,33,354.09,58.4937,69.71
7,13,1,1.98,38.8096,43.1024
34,67.34,31,332.52,-19.2581,-25.5563
14,27.3,7,68.17,-66.2572,-15.2967
6,11.08,13,134.37,-36.3849,-74.5999
1,1.4,3,24.34,44.2973,35.8712
37,73.29,19,200.16,18.8577,11.3308
18,35.19,4,35.26,-11.1102,-36.3396
24,47.46,20,212.1,-30.211,-36.0041
36,71.24,18,189.23,-11.6435,-2.90306
8,15.34,12,123.15,64.0395,15.9668
31,61.21,4,35.33,-17.0771,-8.32905
35,69.51,5,46.32,54.7907,4.79356
33,65.24,20,211.56,34.1102,18.9076
9,17.34,31,332.23,-8.54861,-6.92252
14,27.16,0,-8.58,74.0172,21.2241
14,27.15,14,145.26,18.1921,63.4433
18,35.25,18,188.99,-20.6568,-38.8497
21,41.44,0,-8.72,-23.9431,-45.0303
4,7.06,26,277.39,-24.4042,-54.8127
11,21.34,16,166.98,2.59808,1.5
37,73.36,35,376.47,90.3504,29.3566
10,19.33,5,46.45,-3.49848,-1.93924
10,19.21,20,211.51,-74.8611,-58.4878
16,31.02,15,156.49,52.5642,77.9295
7,13.38,16,167.5,0.681999,0.731353
23,45.54,3,23.98,-29.8757,-25.0687
21,40.97,24,255.46,27.5,47.6314
38,75.37,4,35.14,-54.1216,-66.8345
29,57.06,39,420.1,-25.8775,-50.7873
8,15.07,21,221.99,1.49843,3.70873
21,41.37,23,244.29,15.6369,33.5334
12,23.25,37,398.16,17.1434,10.3008
35,69.32,26,277.22,-11.3262,-8.22899
13,25.28,11,112.53,-14.0664,-33.1382
24,47.17,36,387.29,-13.1644,-12.276
3,5.1,34,365.06,-9.98781,-19.6021
15,29.14,32,343.32,16.3492,14.7209
34,67.25,6,57.05,-20.0739,-22.2943
39,77.15,8,79.3,59.4516,53.5304
1,1.53,8,79.26,8.4505,15.893
21,41.24,17,178.26,-1.78201,-0.90798
38,75,31,332.23,66.0019,39.6579
21,41.48,38,409.52,15.5139,27.9878
25,49.44,39,420.19,25.8639,53.0288
11,21.29,20,211.31,23.2574,63.8991
6,11.32,23,244.29,-49.8109,-43.2999
29,57.06,14,145.19,60.294,26.8446
23,45.35,6,57.41,-74.1747,-29.9685
20,39.02,26,277.14,12.0363,15.9727
17,33.06,6,57.19,-75.7356,-38.5892
27,53.13,12,123.12,18.4678,64.4045
14,27.03,12,123.55,0.813475,1.82709
23,45.12,10,101.24,15.6273,45.3849
28,55.02,14,145.44,63.9124,46.435
15,29.44,8,79.11,-11.8459,-19.7148
12,23.35,23,244.12,-54.6699,-52.794
22,43.56,38,409.28,1.92836,2.29813
38,75.16,39,420.04,-20.362,-36.734
24,47.44,22,233.37,77.9496,17.9961
11,21.45,23,244.41,-24.1347,-22.5059
1,1.37,2,13.04,17.6409,61.5207
35,69.25,28,298.98,59.0631,47.8283
5,9.1,6,57.11,-2.80074,-1.0751
8,15.08,1,2.31,11.1094,28.941
27,53.46,26,277.39,-28.1475,-55.2424
2,3.22,2,13.02,-42.7644,-4.49472
11,21.52,3,24.43,74.4296,54.0762
5,9.25,38,409.52,1.78201,0.90798
35,69.07,10,101.55,50.1069,77.1577
33,65.06,14,145.14,9.58363,7.22178
28,55.26,14,145.51,1.76336,2.42705
