A,B,C,D
1,8,-17.02,11.25
2,18,-6.67,51.2
3,39,3.3,135.3
4,24,13.25,75.29
5,29,23.31,95.29
6,13,33.08,31.32
7,23,42.99,71.01
8,1,53.02,-16.87
9,20,63.23,59.32
10,19,73.19,55.32
11,34,83.23,115.21
12,2,93.31,-12.74
13,22,103.02,67.15
14,38,113.21,131.23
15,14,123.14,35.25
16,4,133.01,-4.84
17,29,143.07,95.04
18,13,152.98,31.15
19,26,163.29,83.26
20,39,173.1,135.29
21,3,183.21,-8.86
22,25,193.21,79.14
23,20,203.26,59.05
24,31,213.27,103
25,26,223.2,82.99
26,8,233.17,11.19
27,13,243.06,31.35
28,8,253.06,11.17
29,24,263.3,75.21
30,10,273.02,19.37
31,2,283.12,-12.72
32,38,293.13,131.36
33,17,303.07,47.36
34,34,313.21,115.12
35,5,323.2,-0.86
36,25,333.35,78.99
37,26,343.1,83.02
38,6,353,3.03
39,12,363,27
40,32,373.01,107.21
41,11,383.29,23.27
42,25,393.27,79.29
43,8,403.22,11.19
44,29,413.28,95.35
45,5,422.99,-0.78
46,0,433.08,-20.76
47,32,443.15,107.33
48,33,453.22,111.03
49,37,463,127.31
50,3,473.29,-8.85
51,7,483.14,7.24
52,9,493.09,15.14
53,8,503.25,11.07
54,22,513,67.19
55,36,523.04,123.24
56,33,533.2,111.31
57,16,543.21,43.26
58,33,553.01,111.27
59,32,563.19,107.28
60,30,573.07,99.2
61,30,584,99.23
62,33,593.25,111.07
63,21,603.2,63.01
64,33,613.23,111.33
65,2,623.14,-12.7
66,15,633.27,39.04
67,36,643.2,123.15
68,9,653.08,15.05
69,24,663.27,74.98
70,22,673.12,67.34
71,34,683.25,115.25
72,16,693.08,43.33
73,34,703.13,115.23
74,37,713.32,127.19
75,9,723.21,15.16
76,16,733.36,43.31
77,34,743.06,115.03
78,18,753.05,51.12
79,10,763.01,19.06
80,15,773.22,38.99
81,39,783.22,135.19
82,31,793.16,103.18
83,28,803.01,91.17
84,4,813.05,-4.87
85,20,823.13,59.1
86,35,833.05,119.08
87,39,843.07,135.11
88,33,853.23,111.31
89,21,863.2,62.98
90,15,873.05,39.15
91,31,883.15,103.07
92,10,893.29,19.27
93,35,903.09,119.27
94,27,913.12,87.15
95,30,923.04,99
96,20,932.99,59.15
97,16,943.03,43.02
98,31,953.03,103.22
99,18,963.34,50.99
100,18,973.17,51.24
